x,y,species cloglog values
658.0,658.0,0.03268618
659.0,659.0,0.03021528
660.0,660.0,0.038907245
661.0,661.0,0.08144711
662.0,662.0,0.069429785
663.0,663.0,0.04710804
664.0,664.0,0.038875446
665.0,665.0,0.03372067
666.0,666.0,0.03044878
667.0,667.0,0.026274282
668.0,668.0,0.04177979
669.0,669.0,0.07920644
670.0,670.0,0.01617139
671.0,671.0,0.03030818
672.0,672.0,0.031857703
673.0,673.0,0.089489006
674.0,674.0,0.031856585
675.0,675.0,0.013529463
676.0,676.0,0.019127565
677.0,677.0,0.030810287
678.0,678.0,0.013700157
679.0,679.0,0.015909912
680.0,680.0,0.022532739
681.0,681.0,0.005338208
682.0,682.0,0.038394637
683.0,683.0,0.014355858
684.0,684.0,0.021538682
685.0,685.0,0.024751889
686.0,686.0,0.06984882
687.0,687.0,0.027839512
688.0,688.0,0.056695864
689.0,689.0,0.006849519
690.0,690.0,0.028498925
691.0,691.0,0.053328488
692.0,692.0,0.17479146
693.0,693.0,0.025162585
694.0,694.0,0.05724993
695.0,695.0,0.10039874
696.0,696.0,0.02345469
697.0,697.0,0.03556022
698.0,698.0,0.050353628
699.0,699.0,0.019345533
700.0,700.0,0.0040252856
701.0,701.0,0.0032515987
702.0,702.0,0.007825107
703.0,703.0,0.004003264
704.0,704.0,0.003730669
705.0,705.0,0.0023639498
706.0,706.0,0.0190866
707.0,707.0,0.0061886436
708.0,708.0,0.0030517695
709.0,709.0,0.011149333
710.0,710.0,0.0054996475
711.0,711.0,0.00422295
712.0,712.0,0.0025196893
713.0,713.0,0.005218794
714.0,714.0,0.0065986044
715.0,715.0,0.0030976422
716.0,716.0,0.0202079
717.0,717.0,0.006488741
718.0,718.0,0.0032821547
719.0,719.0,0.008909917
720.0,720.0,0.004151655
721.0,721.0,0.0061982335
722.0,722.0,0.004556398
723.0,723.0,0.0042948457
724.0,724.0,0.0069148517
725.0,725.0,0.00339568
726.0,726.0,0.0037662988
727.0,727.0,0.008084967
728.0,728.0,0.008235626
729.0,729.0,0.0075251935
730.0,730.0,0.007206737
731.0,731.0,0.0025753458
732.0,732.0,0.0043013874
733.0,733.0,0.014636935
734.0,734.0,0.020620976
735.0,735.0,0.010947735
736.0,736.0,0.0067956583
737.0,737.0,0.025157189
